iteration,total_remain,remain_fraction,assigned_fraction,assigned_delta,progress_rel_pct,stagnant_iterations,stagnant_limit,initial_isolated_flow,non_allocated_flow,run
1,13120186.870672671,0.41576957271539977,0.5842304272846002,18436203.33119922,58.42304273,0,3,0.0,16772368.118445095,goal6_probe_2m
2,12698253.866193345,0.40239881003373223,0.5976011899662678,421933.0044793263,1.33707627,0,3,0.0,0.0,goal6_probe_2m
3,12369507.800889067,0.39198107647164765,0.6080189235283524,328746.06530427746,1.04177336,0,3,0.0,0.0,goal6_probe_2m
4,12148917.692587206,0.3849907297656174,0.6150092702343826,220590.1083018612,0.69903467,0,3,0.0,0.0,goal6_probe_2m
5,11968418.68382714,0.3792708420469847,0.6207291579530153,180499.0087600667,0.57198877,0,3,0.0,0.0,goal6_probe_2m
6,11838886.766765047,0.37516606592292695,0.624833934077073,129531.91706209257,0.41047761,0,3,0.0,0.0,goal6_probe_2m
7,11699456.087720448,0.37074760493443504,0.629252395065565,139430.6790445987,0.4418461,0,3,0.0,0.0,goal6_probe_2m
8,11573904.609206868,0.36676896613226523,0.6332310338677347,125551.47851357982,0.39786388,0,3,0.0,0.0,goal6_probe_2m
9,11439716.616208978,0.36251664220866475,0.6374833577913352,134187.99299789034,0.42523239,0,3,0.0,0.0,goal6_probe_2m
10,11313974.4528087,0.35853196073540744,0.6414680392645926,125742.1634002775,0.39846815,0,3,0.0,199.7309534752361,goal6_probe_2m
11,11207269.422368454,0.3551505527303208,0.6448494472696792,106705.03044024669,0.3381408,0,3,0.0,0.0,goal6_probe_2m
12,11106734.390417524,0.35196466767478085,0.6480353323252191,100535.03195093013,0.31858851,0,3,0.0,0.0,goal6_probe_2m
13,11000882.480935413,0.3486102944779432,0.6513897055220568,105851.90948211029,0.33543732,0,3,0.0,0.0,goal6_probe_2m
14,10912320.04531513,0.3458038126511647,0.6541961873488353,88562.43562028371,0.28064818,0,3,0.0,0.0,goal6_probe_2m
15,10837020.712773709,0.34341762931207814,0.6565823706879219,75299.33254142106,0.23861833,0,3,0.0,0.0,goal6_probe_2m
16,10768263.859007608,0.34123877256305674,0.6587612274369432,68756.85376610048,0.21788567,0,3,0.0,0.0,goal6_probe_2m
17,10284357.91206522,0.32590413055087614,0.6740958694491239,483905.946942389,1.5334642,0,3,0.0,408255.2093704004,goal6_probe_2m
18,10018146.70499833,0.3174680830383473,0.6825319169616527,266211.20706688985,0.84360475,0,3,0.0,194673.06017813963,goal6_probe_2m
19,9936076.084455956,0.31486732230439285,0.6851326776956072,82070.62054237351,0.26007607,0,3,0.0,0.0,goal6_probe_2m
20,9851232.416113907,0.3121786856194207,0.6878213143805794,84843.6683420483,0.26886367,0,3,0.0,0.0,goal6_probe_2m
21,9789625.015022567,0.31022639004007124,0.6897736099599288,61607.40109134093,0.19522956,0,3,0.0,0.0,goal6_probe_2m
22,9698817.338565327,0.3073487580968633,0.6926512419031368,90807.67645723931,0.28776319,0,3,0.0,0.0,goal6_probe_2m
23,9624084.633849008,0.30498053079842263,0.6950194692015774,74732.70471631922,0.23682273,0,3,0.0,0.0,goal6_probe_2m
24,9564053.047929812,0.3030781717030013,0.6969218282969987,60031.585919195786,0.19023591,0,3,0.0,828.9932081708967,goal6_probe_2m
25,9505340.210131787,0.3012176028159255,0.6987823971840745,58712.83779802546,0.18605689,0,3,0.0,0.0,goal6_probe_2m
26,9454756.212021105,0.2996146311899858,0.7003853688100141,50583.99811068177,0.16029716,0,3,0.0,0.0,goal6_probe_2m
27,9386741.27729728,0.29745928533804517,0.7025407146619549,68014.93472382426,0.21553459,0,3,0.0,3254.013244841664,goal6_probe_2m
28,9302851.894294921,0.2948008892900275,0.7051991107099724,83889.38300235942,0.2658396,0,3,0.0,20828.26905446839,goal6_probe_2m
29,9007739.973083295,0.28544899829984316,0.7145510017001568,295111.9212116264,0.9351891,0,3,0.0,222982.80603970136,goal6_probe_2m
30,8951180.025425792,0.28365665300002657,0.7163433469999734,56559.94765750319,0.17923453,0,3,0.0,0.0,goal6_probe_2m
31,8896492.832684372,0.28192365399755587,0.7180763460024442,54687.19274142012,0.1732999,0,3,0.0,0.0,goal6_probe_2m
32,8844562.634549534,0.2802780222316083,0.7197219777683916,51930.19813483767,0.16456318,0,3,0.0,0.0,goal6_probe_2m
33,8787477.400731297,0.2784690309796605,0.7215309690203395,57085.23381823674,0.18089913,0,3,0.0,0.0,goal6_probe_2m
34,8734729.669991242,0.27679749217555083,0.7232025078244492,52747.73074005544,0.16715388,0,3,0.0,0.0,goal6_probe_2m
35,8686531.052827226,0.27527011160839215,0.7247298883916078,48198.61716401577,0.15273806,0,3,0.0,0.0,goal6_probe_2m
36,8638670.403518366,0.2737534410068852,0.7262465589931149,47860.6493088603,0.15166706,0,3,0.0,24.14509697320888,goal6_probe_2m
37,8587767.23680821,0.27214035515059687,0.7278596448494031,50903.166710155085,0.16130859,0,3,0.0,0.0,goal6_probe_2m
38,8546227.569214165,0.2708239920517662,0.7291760079482338,41539.6675940454,0.13163631,0,3,0.0,0.0,goal6_probe_2m
39,8505577.097008312,0.2695358069347169,0.7304641930652831,40650.47220585309,0.12881851,0,3,0.0,0.0,goal6_probe_2m
40,8474423.851233715,0.26854858230048895,0.731451417699511,31153.24577459693,0.09872246,0,3,0.0,0.0,goal6_probe_2m
41,8432527.253773618,0.2672209083431042,0.7327790916568958,41896.5974600967,0.1327674,0,3,0.0,0.0,goal6_probe_2m
42,8389443.593264922,0.2658556171854945,0.7341443828145056,43083.66050869599,0.13652912,0,3,0.0,0.0,goal6_probe_2m
43,8227579.0295844255,0.26072624203691064,0.7392737579630894,161864.563680497,0.51293751,0,3,0.0,115288.73484031972,goal6_probe_2m
44,7949359.5147362035,0.2519096596246511,0.7480903403753489,278219.514848222,0.88165824,0,3,0.0,234212.1120981743,goal6_probe_2m
45,7911603.798572589,0.2507132073079544,0.7492867926920457,37755.716163614765,0.11964523,0,3,0.0,0.0,goal6_probe_2m
46,7878174.120563637,0.24965384412366445,0.7503461558763356,33429.67800895125,0.10593632,0,3,0.0,0.0,goal6_probe_2m
47,7837754.402666845,0.2483729714497553,0.7516270285502447,40419.717896792106,0.12808727,0,3,0.0,4.784162331505918,goal6_probe_2m
48,7807156.8416894935,0.24740335607925146,0.7525966439207485,30597.56097735185,0.09696154,0,3,0.0,0.0,goal6_probe_2m
49,7774858.547534188,0.2463798456603256,0.7536201543396743,32298.29415530525,0.10235104,0,3,0.0,173.52202933254551,goal6_probe_2m
50,7743654.973251071,0.24539102615075867,0.7546089738492413,31203.57428311743,0.09888195,0,3,0.0,0.0,goal6_probe_2m
51,7709784.535980694,0.2443176956128327,0.7556823043871673,33870.43727037683,0.10733305,0,3,0.0,0.0,goal6_probe_2m
52,7671498.156570939,0.24310442694791792,0.7568955730520821,38286.37940975465,0.12132687,0,3,0.0,0.0,goal6_probe_2m
53,7619145.54052587,0.24144540905296355,0.7585545909470365,52352.61604506895,0.16590179,0,3,0.0,0.0,goal6_probe_2m
54,7570916.356678937,0.23991705984893852,0.7600829401510615,48229.18384693377,0.15283492,0,3,0.0,4528.802933936639,goal6_probe_2m
55,7536757.565402348,0.23883459157363615,0.7611654084263638,34158.791276589036,0.10824683,0,3,0.0,0.0,goal6_probe_2m
56,7501205.668850735,0.2377079767636347,0.7622920232363652,35551.896551612765,0.11266148,0,3,0.0,0.0,goal6_probe_2m
57,7457781.651186548,0.2363318999251118,0.7636681000748882,43424.01766418666,0.13760768,0,3,0.0,0.0,goal6_probe_2m
58,7409248.25605874,0.23479391047773424,0.7652060895222658,48533.395127807744,0.15379894,0,3,0.0,0.0,goal6_probe_2m
59,7363602.165607123,0.23334741770211537,0.7666525822978847,45646.090451617725,0.14464928,0,3,0.0,0.0,goal6_probe_2m
60,7327849.051959662,0.23221442646266302,0.767785573537337,35753.11364746094,0.11329912,0,3,0.0,0.0,goal6_probe_2m
61,7296106.751081461,0.2312085350829729,0.7687914649170271,31742.30087820068,0.10058914,0,3,0.0,0.0,goal6_probe_2m
62,7265965.985796657,0.2302533952494245,0.7697466047505754,30140.765284803696,0.09551398,0,3,0.0,0.0,goal6_probe_2m
63,7231739.6302193655,0.22916878590854808,0.7708312140914519,34226.35557729192,0.10846093,0,3,0.0,0.0,goal6_probe_2m
64,6910481.373716776,0.2189883357858489,0.7810116642141511,321258.2565025892,1.01804501,0,3,0.0,288621.7116415532,goal6_probe_2m
65,6880870.832599896,0.21804999838643607,0.7819500016135639,29610.541116880253,0.09383374,0,3,0.0,7165.092428185388,goal6_probe_2m
66,6858538.006758291,0.21734228670906305,0.7826577132909369,22332.825841604732,0.07077117,0,3,0.0,0.0,goal6_probe_2m
67,6825810.67416851,0.21630518036133384,0.7836948196386662,32727.33258978091,0.10371063,0,3,0.0,1551.6085921459526,goal6_probe_2m
68,6799169.252991938,0.21546093230234667,0.7845390676976534,26641.42117657233,0.08442481,0,3,0.0,0.0,goal6_probe_2m
69,6757147.915021431,0.2141293054051734,0.7858706945948266,42021.33797050733,0.13316269,0,3,0.0,0.0,goal6_probe_2m
70,6731124.105239141,0.2133046290205866,0.7866953709794133,26023.8097822899,0.08246764,0,3,0.0,0.0,goal6_probe_2m
71,6696111.34660928,0.2121950991153637,0.7878049008846363,35012.75862986036,0.11095299,0,3,0.0,0.0,goal6_probe_2m
72,6668940.02036715,0.21133405873437236,0.7886659412656276,27171.32624213025,0.08610404,0,3,0.0,0.0,goal6_probe_2m
73,6633848.298676449,0.2102220265448154,0.7897779734551846,35091.72169070132,0.11120322,0,3,0.0,0.0,goal6_probe_2m
74,6603759.022680356,0.20926851837092078,0.7907314816290792,30089.275996092707,0.09535082,0,3,0.0,680.9667970747901,goal6_probe_2m
75,6570567.477338529,0.20821670144479285,0.7917832985552071,33191.545341826975,0.10518169,0,3,0.0,0.0,goal6_probe_2m
76,6545546.388235319,0.20742380057929,0.79257619942071,25021.089103209786,0.07929009,0,3,0.0,328.02096941688967,goal6_probe_2m
77,6510630.848773237,0.20631735148169925,0.7936826485183007,34915.53946208209,0.11064491,0,3,0.0,0.0,goal6_probe_2m
78,6450961.281182164,0.2044264644946467,0.7955735355053533,59669.56759107299,0.1890887,0,3,0.0,24987.69504412734,goal6_probe_2m
79,6426357.516317723,0.203646788343254,0.796353211656746,24603.764864441007,0.07796762,0,3,0.0,0.0,goal6_probe_2m
80,6399538.671628819,0.20279691785688533,0.7972030821431146,26818.84468890447,0.08498705,0,3,0.0,0.0,goal6_probe_2m
81,6373676.802649263,0.20197737326340956,0.7980226267365904,25861.868979555555,0.08195446,0,3,0.0,0.0,goal6_probe_2m
