# T04a - CURRENT UK setup, discretized. Source: DfT TAG A1.3 coefficients as stored in unified_parameters.json (repo comment marks them UK-LEGACY).
# Functional form: L_per_km = (a + b*v + c*v^2 + d*v^3)/v, v in km/h. Values below are that formula evaluated verbatim.
# KNOWN ISSUE (matrix row 4): repo comments label these 'per mile (adjusted)' while the dict says per km - resolve before use; this CSV freezes the per-km reading of the stored coefficients.
# vehicle classes: car, lgv (light goods), ogv (heavy goods/truck), psv (bus)
speed_kmh,speed_mph,fuel_l_per_km_car,fuel_l_per_km_lgv,fuel_l_per_km_ogv,fuel_l_per_km_psv
10,6.2,0.1323,0.1321,0.7919,0.706
20,12.4,0.1005,0.0755,0.4401,0.4191
30,18.6,0.0938,0.0445,0.3156,0.3157
40,24.9,0.0935,0.023,0.2502,0.2605
50,31.1,0.0958,0.0076,0.21,0.2263
60,37.3,0.0994,-0.0026,0.1838,0.2041
70,43.5,0.1038,-0.0083,0.1669,0.1901
80,49.7,0.1087,-0.0095,0.1568,0.1824
90,55.9,0.114,-0.0065,0.1521,0.1797
100,62.1,0.1195,0.0006,0.1521,0.1816
110,68.4,0.1253,0.0119,0.1563,0.1876
120,74.6,0.1313,0.0273,0.1643,0.1974
130,80.8,0.1375,0.0468,0.1759,0.2108
